"","longL93fic","latL93fich"
"469",1002834.57,6365955.66
"470",1003087.81,6366038.93
"471",1002921.64,6366445.33
"472",1002862.04,6366474.49
"473",1002316.9,6366425.23
"474",1002570.41,6366517.5
"475",1002077.04,6366168.46
"476",1001750.84,6365913.57
"477",1001877.55,6365833.57
"478",1001895.27,6365614.2
"479",999378.54,6363611.08
"480",1000298.99,6364641.91
"481",999051.72,6362683.66
"482",999507.79,6362949.6
"483",999018.49,6363655.01
"484",999198.07,6363672.56
"485",999565.52,6363593.96
"486",999540.06,6363675.83
"487",999793.14,6363523.73
"488",1000101.36,6363376.27
"489",1000316.24,6363813.94
"490",1000341.39,6363844.17
"491",1000315.87,6363897
"492",1000141.96,6363745.56
"493",1000233.07,6363598.76
"494",1000276.77,6363601.85
"495",999881.57,6363659.07
"496",999842.81,6363295.87
"497",999863.38,6363301.86
"498",999727.25,6363729.79
"499",999645.44,6363711.88
"500",998878.68,6363753.47
"501",999194.39,6363840.55
"502",999422.54,6363834.39
"503",999837.26,6363925.21
"504",999992.8,6364024.72
"505",1001503.69,6364683.53
"506",1001716.04,6364631.66
"507",1001031.25,6364643.88
"508",1001491.06,6364827.07
"509",1001607.52,6364706.53
"510",1001533.58,6364614.9
"511",1000793.52,6364565.45
"512",1001483.33,6364748.62
"513",1001465.69,6364591.63
"514",1001703.67,6364529.97
"515",1001867.47,6364396.69
"516",1001958.5,6364357.02
"517",1002070.13,6364352.37
"518",1001258.75,6364470.6
"519",1001287.68,6364361.88
"520",1001331.05,6363966.57
"521",1001043.05,6364006.84
"522",1001080.58,6363958.58
"523",1000801.09,6363956.22
"524",1001630.21,6364353.28
"525",1001552.34,6364328.52
"526",1001464.09,6364325.29
"527",1001734.17,6364073.99
"528",1001229.13,6363708.45
"529",1001226.26,6363588.19
"530",1001204.27,6363507.06
"531",1001163.87,6363435.06
"532",1001911.47,6363899.32
"533",1001953.72,6363633.08
"534",1001780.16,6363639.77
"535",1001415.98,6363559.24
"536",1001474.33,6363091.58
"537",1001764.9,6364227.61
"538",1001310.64,6363882.51
"539",1000682.99,6363765.39
"540",1000539.5,6363684.46
"541",1000486.92,6363747.01
"542",1000878.32,6363273.25
"543",1001828.52,6362946.41
"544",1001844.41,6362795.02
"545",1001754.17,6362847.75
"546",1001652.55,6362942.97
"547",1001693.28,6363128.11
"548",1001588.14,6362996.94
"549",1001495.66,6363051.57
"550",1001905.58,6362718.88
"551",1002151.29,6364727.63
"552",1002120.01,6364825.22
"553",1002082.24,6364833.42
"554",1002239.76,6364247.41
"555",1001806.86,6364311.7
"556",1001842.3,6364217.31
"557",1001900.82,6364136.04
"558",1001891.32,6364034.48
"559",1002316.02,6363991.82
"560",1002452.03,6363584.95
"561",1002438.55,6363072.8
"562",1002308.49,6363086.57
"563",1002232.07,6363973.77
